t Ka M R logL logTeff
500.000000 0 0.600084 0.554243 -1.012656 3.636126
1000.000000 0 0.600084 0.555039 -1.009956 3.636490
1500.000000 0 0.600084 0.555837 -1.007186 3.636870
2000.000000 0 0.600084 0.556639 -1.004345 3.637268
2500.000000 0 0.600084 0.557444 -1.001434 3.637681
3000.000000 0 0.600084 0.558255 -0.998452 3.638111
3500.000000 0 0.600084 0.559070 -0.995401 3.638557
4000.000000 0 0.600084 0.559892 -0.992279 3.639019
4500.000000 0 0.600084 0.560721 -0.989086 3.639495
5000.000000 0 0.600084 0.561558 -0.985824 3.639987
5500.000000 0 0.600084 0.562402 -0.982491 3.640494
6000.000000 0 0.600084 0.563256 -0.979088 3.641016
6500.000000 0 0.600084 0.564120 -0.975614 3.641551
7000.000000 0 0.600084 0.564994 -0.972071 3.642101
7500.000000 0 0.600084 0.565880 -0.968456 3.642664
8000.000000 0 0.600084 0.566778 -0.964772 3.643241
8500.000000 0 0.600084 0.567689 -0.961017 3.643831
9000.000000 0 0.600084 0.568613 -0.957192 3.644434
9500.000000 0 0.600084 0.569552 -0.953297 3.645050
10000.000000 0 0.600084 0.570506 -0.949332 3.645677
10500.000000 0 0.600084 0.571476 -0.945296 3.646317
11000.000000 0 0.600084 0.572464 -0.941190 3.646969
11500.000000 0 0.600084 0.573468 -0.937013 3.647633
12000.000000 0 0.600084 0.574492 -0.932766 3.648307
12500.000000 0 0.600084 0.575534 -0.928449 3.648993
13000.000000 0 0.600084 0.576597 -0.924062 3.649689
13500.000000 0 0.600084 0.577681 -0.919604 3.650396
14000.000000 0 0.600084 0.578787 -0.915075 3.651112
14500.000000 0 0.600084 0.579915 -0.910477 3.651839
15000.000000 0 0.600084 0.581067 -0.905808 3.652576
15500.000000 0 0.600084 0.582243 -0.901068 3.653321
16000.000000 0 0.600084 0.583445 -0.896258 3.654076
16500.000000 0 0.600084 0.584672 -0.891377 3.654840
17000.000000 0 0.600084 0.585927 -0.886426 3.655612
17500.000000 0 0.600084 0.587211 -0.881404 3.656393
18000.000000 0 0.600084 0.588523 -0.876311 3.657181
18500.000000 0 0.600084 0.589865 -0.871146 3.657978
19000.000000 0 0.600084 0.591238 -0.865911 3.658782
19500.000000 0 0.600084 0.592643 -0.860604 3.659593
20000.000000 0 0.600084 0.594081 -0.855225 3.660411
20500.000000 0 0.600084 0.595554 -0.849774 3.661237
21000.000000 0 0.600084 0.597061 -0.844251 3.662068
21500.000000 0 0.600084 0.598605 -0.838654 3.662907
22000.000000 0 0.600084 0.600187 -0.832984 3.663751
22500.000000 0 0.600084 0.601807 -0.827240 3.664602
23000.000000 0 0.600084 0.603467 -0.821420 3.665459
23500.000000 0 0.600084 0.605168 -0.815525 3.666321
24000.000000 0 0.600084 0.606913 -0.809553 3.667189
24500.000000 0 0.600084 0.608701 -0.803503 3.668063
25000.000000 0 0.600084 0.610535 -0.797373 3.668942
25500.000000 0 0.600084 0.612416 -0.791162 3.669827
26000.000000 0 0.600084 0.614346 -0.784867 3.670717
26500.000000 0 0.600084 0.616327 -0.778488 3.671613
27000.000000 0 0.600084 0.618361 -0.772021 3.672514
27500.000000 0 0.600084 0.620449 -0.765463 3.673422
28000.000000 0 0.600084 0.622594 -0.758812 3.674335
28500.000000 0 0.600084 0.624799 -0.752063 3.675255
29000.000000 0 0.600084 0.627065 -0.745213 3.676181
29500.000000 0 0.600084 0.629395 -0.738257 3.677115
30000.000000 0 0.600084 0.631793 -0.731189 3.678056
30500.000000 0 0.600084 0.634262 -0.724004 3.679005
31000.000000 0 0.600084 0.636804 -0.716696 3.679964
31500.000000 0 0.600084 0.639424 -0.709256 3.680932
32000.000000 0 0.600084 0.642126 -0.701676 3.681911
32500.000000 0 0.600084 0.644914 -0.693948 3.682903
33000.000000 0 0.600084 0.647794 -0.686060 3.683907
33500.000000 0 0.600084 0.650769 -0.678001 3.684927
34000.000000 0 0.600084 0.653847 -0.669759 3.685963
34500.000000 0 0.600084 0.657034 -0.661318 3.687017
35000.000000 0 0.600084 0.660335 -0.652664 3.688092
35500.000000 0 0.600084 0.663760 -0.643778 3.689190
36000.000000 0 0.600084 0.667316 -0.634642 3.690314
36500.000000 0 0.600084 0.671013 -0.625234 3.691467
37000.000000 0 0.600084 0.674860 -0.615530 3.692651
37500.000000 0 0.600084 0.678870 -0.605505 3.693871
38000.000000 0 0.600084 0.683053 -0.595130 3.695131
38500.000000 0 0.600084 0.687424 -0.584374 3.696435
39000.000000 0 0.600084 0.691998 -0.573202 3.697788
39500.000000 0 0.600084 0.696792 -0.561577 3.699195
40000.000000 0 0.600084 0.701825 -0.549459 3.700662
40500.000000 0 0.600084 0.707118 -0.536802 3.702194
41000.000000 0 0.600084 0.712696 -0.523557 3.703799
41500.000000 0 0.600084 0.718587 -0.509670 3.705483
42000.000000 0 0.600084 0.724827 -0.495085 3.707252
42500.000000 0 0.600084 0.731456 -0.479737 3.709112
43000.000000 0 0.600084 0.738526 -0.463558 3.711068
43262.135398 0 0.600084 0.742246 -0.455134 3.712083
43524.270796 0 0.600084 0.746102 -0.446473 3.713123
43786.406194 0 0.600084 0.750106 -0.437566 3.714188
44048.541592 0 0.600084 0.754271 -0.428402 3.715276
44310.676989 0 0.600084 0.758612 -0.418969 3.716388
44572.812387 0 0.600084 0.763149 -0.409256 3.717522
44834.947785 0 0.600084 0.767903 -0.399251 3.718675
45097.083183 0 0.600084 0.772900 -0.388941 3.719844
45359.218581 0 0.600084 0.778170 -0.378313 3.721025
45621.353979 0 0.600084 0.783751 -0.367353 3.722213
45883.489377 0 0.600084 0.789687 -0.356048 3.723401
46145.624775 0 0.600084 0.796033 -0.344382 3.724579
46407.760173 0 0.600084 0.802855 -0.332341 3.725737
46669.895570 0 0.600084 0.810232 -0.319908 3.726859
46932.030968 0 0.600084 0.818264 -0.307067 3.727927
47063.098667 0 0.600084 0.822561 -0.300489 3.728434
47194.166366 0 0.600084 0.827070 -0.293801 3.728919
47325.234065 0 0.600084 0.831808 -0.287004 3.729378
47456.301764 0 0.600084 0.836798 -0.280093 3.729807
47587.369463 0 0.600084 0.842063 -0.273066 3.730202
47718.437162 0 0.600084 0.847631 -0.265923 3.730556
47849.504861 0 0.600084 0.853532 -0.258659 3.730866
47980.572560 0 0.600084 0.859798 -0.251272 3.731124
48111.640259 0 0.600084 0.866467 -0.243760 3.731325
48242.707958 0 0.600084 0.873580 -0.236121 3.731459
48373.775657 0 0.600084 0.881185 -0.228352 3.731519
48504.843356 0 0.600084 0.889333 -0.220449 3.731496
48635.911055 0 0.600084 0.898083 -0.212412 3.731379
48701.444904 0 0.600084 0.902704 -0.208341 3.731283
48766.978754 0 0.600084 0.907502 -0.204236 3.731158
48832.512603 0 0.600084 0.912485 -0.200095 3.731004
48898.046452 0 0.600084 0.917664 -0.195918 3.730819
48963.580302 0 0.600084 0.923049 -0.191706 3.730602
49029.114151 0 0.600084 0.928653 -0.187457 3.730349
49094.648001 0 0.600084 0.934488 -0.183172 3.730061
