t Ka M R logL logTeff
0.493583 1 7.000001 2.752279 3.262939 4.357029
0.987177 1 6.999917 2.765296 3.264705 4.356446
1.480783 1 6.999833 2.778382 3.266522 4.355875
1.974399 1 6.999748 2.791543 3.268390 4.355316
2.468028 1 6.999662 2.804781 3.270308 4.354768
2.961667 1 6.999575 2.818103 3.272277 4.354231
3.455319 1 6.999487 2.831512 3.274296 4.353705
3.948982 1 6.999398 2.845014 3.276366 4.353190
4.442658 1 6.999309 2.858613 3.278486 4.352684
4.936345 1 6.999218 2.872314 3.280657 4.352189
5.430045 1 6.999127 2.886122 3.282878 4.351703
5.923757 1 6.999034 2.900043 3.285150 4.351226
6.417481 1 6.998941 2.914080 3.287473 4.350758
6.911219 1 6.998846 2.928241 3.289845 4.350298
7.404968 1 6.998751 2.942530 3.292269 4.349847
7.898731 1 6.998654 2.956952 3.294742 4.349404
8.392507 1 6.998556 2.971513 3.297267 4.348968
8.886296 1 6.998457 2.986219 3.299841 4.348540
9.380098 1 6.998357 3.001075 3.302467 4.348119
9.873914 1 6.998256 3.016088 3.305142 4.347704
10.367743 1 6.998153 3.031263 3.307868 4.347296
10.861587 1 6.998049 3.046606 3.310645 4.346894
11.355444 1 6.997944 3.062124 3.313472 4.346497
11.849316 1 6.997837 3.077823 3.316349 4.346106
12.343201 1 6.997729 3.093709 3.319277 4.345720
12.837102 1 6.997619 3.109790 3.322255 4.345339
13.331017 1 6.997508 3.126070 3.325283 4.344962
13.824948 1 6.997394 3.142559 3.328362 4.344589
14.318893 1 6.997280 3.159261 3.331491 4.344221
14.812855 1 6.997163 3.176186 3.334671 4.343855
15.306831 1 6.997045 3.193339 3.337901 4.343493
15.800824 1 6.996925 3.210729 3.341181 4.343134
16.294833 1 6.996803 3.228363 3.344512 4.342777
16.788859 1 6.996679 3.246249 3.347892 4.342423
17.282901 1 6.996553 3.264396 3.351323 4.342070
17.776960 1 6.996425 3.282811 3.354805 4.341719
18.271037 1 6.996294 3.301504 3.358336 4.341369
18.765131 1 6.996162 3.320483 3.361918 4.341019
19.259243 1 6.996027 3.339757 3.365550 4.340671
19.753373 1 6.995890 3.359337 3.369232 4.340322
20.247522 1 6.995750 3.379232 3.372965 4.339973
20.741690 1 6.995607 3.399453 3.376747 4.339623
21.235876 1 6.995462 3.420011 3.380580 4.339272
21.730083 1 6.995315 3.440918 3.384463 4.338919
22.224309 1 6.995164 3.462184 3.388396 4.338564
22.718556 1 6.995010 3.483824 3.392379 4.338207
23.212824 1 6.994854 3.505851 3.396412 4.337847
23.707112 1 6.994694 3.528280 3.400495 4.337483
24.201423 1 6.994531 3.551125 3.404628 4.337115
24.695755 1 6.994365 3.574403 3.408811 4.336742
25.190110 1 6.994195 3.598133 3.413044 4.336363
25.684487 1 6.994022 3.622332 3.417327 4.335978
26.178888 1 6.993845 3.647022 3.421660 4.335586
26.673313 1 6.993665 3.672225 3.426043 4.335187
27.167763 1 6.993480 3.697965 3.430476 4.334778
27.662237 1 6.993292 3.724268 3.434958 4.334360
