t Ka M R logL logTeff
150.252890 1 0.900084 0.802604 -0.376456 3.714776
300.506003 1 0.900083 0.804540 -0.373864 3.714901
450.759340 1 0.900083 0.806482 -0.371215 3.715040
601.012904 1 0.900083 0.808431 -0.368509 3.715192
751.266697 1 0.900082 0.810389 -0.365747 3.715357
901.520721 1 0.900082 0.812356 -0.362929 3.715535
1051.774978 1 0.900082 0.814333 -0.360055 3.715726
1202.029471 1 0.900081 0.816322 -0.357124 3.715929
1352.284202 1 0.900081 0.818322 -0.354137 3.716144
1502.539173 1 0.900080 0.820336 -0.351094 3.716371
1652.794388 1 0.900080 0.822364 -0.347995 3.716610
1803.049849 1 0.900080 0.824407 -0.344839 3.716860
1953.305557 1 0.900079 0.826466 -0.341626 3.717121
2103.561517 1 0.900079 0.828543 -0.338358 3.717394
2253.817732 1 0.900079 0.830637 -0.335033 3.717677
2404.074203 1 0.900078 0.832751 -0.331652 3.717970
2554.330933 1 0.900078 0.834885 -0.328214 3.718274
2704.587927 1 0.900077 0.837041 -0.324720 3.718587
2854.845187 1 0.900077 0.839218 -0.321170 3.718911
3005.102716 1 0.900077 0.841420 -0.317564 3.719243
3155.360518 1 0.900076 0.843646 -0.313901 3.719585
3305.618596 1 0.900076 0.845897 -0.310182 3.719936
3455.876954 1 0.900075 0.848176 -0.306406 3.720296
3606.135595 1 0.900075 0.850483 -0.302575 3.720664
3756.394522 1 0.900074 0.852818 -0.298687 3.721041
3906.653740 1 0.900074 0.855184 -0.294742 3.721425
4056.913253 1 0.900073 0.857582 -0.290741 3.721817
4207.173064 1 0.900073 0.860012 -0.286684 3.722217
4357.433178 1 0.900073 0.862476 -0.282571 3.722624
4507.693599 1 0.900072 0.864975 -0.278401 3.723038
4657.954331 1 0.900072 0.867510 -0.274175 3.723459
4808.215379 1 0.900071 0.870084 -0.269893 3.723887
4958.476747 1 0.900071 0.872696 -0.265554 3.724321
5108.738440 1 0.900070 0.875348 -0.261159 3.724761
5259.000463 1 0.900070 0.878042 -0.256707 3.725206
5409.262821 1 0.900069 0.880779 -0.252199 3.725657
5559.525519 1 0.900069 0.883560 -0.247634 3.726114
5709.788562 1 0.900068 0.886387 -0.243013 3.726576
5860.051956 1 0.900068 0.889261 -0.238335 3.727042
6010.315706 1 0.900067 0.892184 -0.233601 3.727513
6160.579819 1 0.900066 0.895157 -0.228810 3.727988
6310.844299 1 0.900066 0.898183 -0.223962 3.728468
6461.109153 1 0.900065 0.901262 -0.219057 3.728951
6611.374387 1 0.900065 0.904396 -0.214095 3.729438
6761.640008 1 0.900064 0.907587 -0.209076 3.729928
6911.906023 1 0.900063 0.910837 -0.203999 3.730420
7062.172437 1 0.900063 0.914148 -0.198865 3.730916
7212.439259 1 0.900062 0.917522 -0.193673 3.731414
7362.706495 1 0.900062 0.920960 -0.188423 3.731914
7512.974153 1 0.900061 0.924467 -0.183114 3.732416
7663.242240 1 0.900060 0.928042 -0.177747 3.732920
7813.510765 1 0.900060 0.931690 -0.172320 3.733425
7963.779736 1 0.900059 0.935413 -0.166833 3.733930
8114.049160 1 0.900058 0.939214 -0.161287 3.734437
8264.319047 1 0.900057 0.943095 -0.155679 3.734943
8414.589406 1 0.900057 0.947061 -0.150009 3.735449
8564.860245 1 0.900056 0.951114 -0.144277 3.735955
8715.131575 1 0.900055 0.955258 -0.138481 3.736460
8865.403405 1 0.900054 0.959498 -0.132621 3.736963
9015.675745 1 0.900054 0.963838 -0.126695 3.737465
9165.948606 1 0.900053 0.968283 -0.120702 3.737964
9316.221998 1 0.900052 0.972837 -0.114639 3.738461
9466.495933 1 0.900051 0.977507 -0.108507 3.738954
9616.770423 1 0.900050 0.982299 -0.102302 3.739443
9767.045479 1 0.900049 0.987220 -0.096023 3.739928
9917.321113 1 0.900049 0.992276 -0.089666 3.740408
10067.597339 1 0.900048 0.997477 -0.083230 3.740882
10217.874171 1 0.900047 1.002831 -0.076711 3.741349
10368.151621 1 0.900046 1.008347 -0.070106 3.741809
10518.429704 1 0.900045 1.014036 -0.063412 3.742261
10668.708435 1 0.900044 1.019911 -0.056624 3.742704
10818.987830 1 0.900043 1.025983 -0.049738 3.743136
10969.267905 1 0.900042 1.032267 -0.042748 3.743557
11119.548676 1 0.900041 1.038779 -0.035650 3.743966
11269.830162 1 0.900039 1.045535 -0.028437 3.744362
11420.112380 1 0.900038 1.052554 -0.021103 3.744742
11570.395350 1 0.900037 1.059858 -0.013641 3.745107
11720.679092 1 0.900036 1.067468 -0.006042 3.745453
11870.963627 1 0.900035 1.075411 0.001702 3.745779
12021.248976 1 0.900033 1.083715 0.009601 3.746083
12171.535164 1 0.900032 1.092409 0.017665 3.746364
12321.822215 1 0.900031 1.101531 0.025906 3.746619
12472.110155 1 0.900029 1.111118 0.034335 3.746844
12622.399010 1 0.900028 1.121215 0.042967 3.747038
