t Ka M R logL logTeff
0.100000 1 39.970147 9.365306 5.356331 4.614462
0.200000 1 39.939939 9.415327 5.358052 4.613736
0.300000 1 39.909457 9.465599 5.359789 4.613014
0.400000 1 39.878696 9.516147 5.361540 4.612295
0.500000 1 39.847650 9.566994 5.363305 4.611579
0.600000 1 39.816316 9.618165 5.365086 4.610866
0.700000 1 39.784688 9.669685 5.366881 4.610155
0.800000 1 39.752762 9.721579 5.368690 4.609445
0.900000 1 39.720532 9.773873 5.370514 4.608736
1.000000 1 39.687993 9.826593 5.372352 4.608027
1.100000 1 39.655141 9.879766 5.374203 4.607318
1.200000 1 39.621971 9.933418 5.376069 4.606609
1.300000 1 39.588476 9.987579 5.377949 4.605898
1.400000 1 39.554653 10.042275 5.379842 4.605185
1.500000 1 39.520495 10.097535 5.381749 4.604470
1.600000 1 39.485998 10.153389 5.383669 4.603752
1.700000 1 39.451156 10.209866 5.385602 4.603031
1.800000 1 39.415964 10.266996 5.387549 4.602306
1.900000 1 39.380417 10.324810 5.389508 4.601577
2.000000 1 39.344509 10.383339 5.391481 4.600842
2.100000 1 39.308235 10.442615 5.393466 4.600102
2.200000 1 39.271589 10.502671 5.395463 4.599357
2.300000 1 39.234566 10.563540 5.397474 4.598604
2.400000 1 39.197161 10.625255 5.399496 4.597845
2.500000 1 39.159368 10.687850 5.401531 4.597078
2.600000 1 39.121182 10.751362 5.403578 4.596303
2.700000 1 39.082597 10.815825 5.405637 4.595520
2.800000 1 39.043608 10.881276 5.407707 4.594727
2.900000 1 39.004210 10.947754 5.409789 4.593925
3.000000 1 38.964398 11.015296 5.411883 4.593113
3.100000 1 38.924165 11.083941 5.413988 4.592291
3.200000 1 38.883507 11.153730 5.416105 4.591457
3.300000 1 38.842418 11.224704 5.418232 4.590611
3.400000 1 38.800894 11.296906 5.420371 4.589754
3.500000 1 38.758929 11.370379 5.422520 4.588883
3.600000 1 38.716519 11.445169 5.424680 4.588000
3.700000 1 38.673657 11.521323 5.426851 4.587102
3.800000 1 38.630341 11.598890 5.429032 4.586190
3.900000 1 38.586564 11.677918 5.431224 4.585264
4.000000 1 38.542322 11.758461 5.433426 4.584322
4.100000 1 38.497612 11.840574 5.435638 4.583364
4.200000 1 38.452428 11.924313 5.437860 4.582389
4.300000 1 38.406766 12.009739 5.440092 4.581397
4.400000 1 38.360623 12.096914 5.442334 4.580387
4.500000 1 38.313995 12.185906 5.444585 4.579358
4.600000 1 38.266878 12.276784 5.446846 4.578310
4.700000 1 38.219270 12.369625 5.449117 4.577242
4.800000 1 38.171166 12.464507 5.451397 4.576152
4.900000 1 38.122566 12.561516 5.453686 4.575041
5.000000 1 38.073466 12.660745 5.455985 4.573907
5.100000 1 38.023864 12.762291 5.458293 4.572750
5.200000 1 37.973759 12.866261 5.460611 4.571567
5.300000 1 37.923151 12.972771 5.462937 4.570358
5.400000 1 37.872038 13.081947 5.465273 4.569123
5.500000 1 37.820421 13.193923 5.467618 4.567858
5.600000 1 37.768301 13.308851 5.469972 4.566563
5.700000 1 37.715678 13.426892 5.472335 4.565237
5.800000 1 37.662556 13.548225 5.474708 4.563876
5.900000 1 37.608937 13.673048 5.477090 4.562480
6.000000 1 37.554826 13.801575 5.479481 4.561046
6.100000 1 37.500227 13.934047 5.481882 4.559572
6.200000 1 37.445148 14.070727 5.484293 4.558055
6.300000 1 37.417372 14.140717 5.485500 4.557280
6.400000 1 37.389479 14.211871 5.486711 4.556493
6.500000 1 37.361471 14.284231 5.487923 4.555693
6.600000 1 37.333349 14.357839 5.489139 4.554881
6.700000 1 37.305115 14.432741 5.490357 4.554055
6.800000 1 37.276770 14.508987 5.491577 4.553216
6.900000 1 37.248316 14.586627 5.492801 4.552363
7.000000 1 37.219755 14.665715 5.494027 4.551496
7.100000 1 37.191088 14.746307 5.495256 4.550613
7.200000 1 37.162319 14.828465 5.496487 4.549714
7.300000 1 37.133448 14.912250 5.497722 4.548800
7.400000 1 37.104480 14.997731 5.498960 4.547868
7.500000 1 37.075416 15.084976 5.500201 4.546918
7.600000 1 37.046259 15.174061 5.501445 4.545951
7.700000 1 37.017012 15.265064 5.502692 4.544964
7.800000 1 36.987679 15.358069 5.503942 4.543958
7.900000 1 36.958262 15.453162 5.505196 4.542931
8.000000 1 36.928766 15.550437 5.506453 4.541883
8.100000 1 36.899195 15.649992 5.507714 4.540812
8.200000 1 36.869553 15.751931 5.508979 4.539718
8.300000 1 36.839843 15.856363 5.510247 4.538601
8.400000 1 36.810072 15.963404 5.511520 4.537458
8.500000 1 36.780243 16.073178 5.512796 4.536289
8.600000 1 36.750363 16.185815 5.514077 4.535092
8.700000 1 36.720436 16.301452 5.515362 4.533868
8.800000 1 36.690470 16.420235 5.516651 4.532614
8.900000 1 36.660470 16.542320 5.517945 4.531329
9.000000 1 36.630444 16.667869 5.519244 4.530012
9.100000 1 36.600397 16.797058 5.520548 4.528661
9.200000 1 36.570339 16.930071 5.521858 4.527276
9.300000 1 36.540277 17.067103 5.523172 4.525854
9.400000 1 36.510220 17.208362 5.524493 4.524394
9.500000 1 36.480176 17.354070 5.525819 4.522895
9.600000 1 36.450156 17.504460 5.527152 4.521354
9.700000 1 36.420169 17.659783 5.528491 4.519771
9.800000 1 36.390226 17.820302 5.529836 4.518142
9.900000 1 36.360338 17.986301 5.531189 4.516467
10.000000 1 36.330518 18.158078 5.532549 4.514743
10.100000 1 36.300777 18.335955 5.533917 4.512968
10.200000 1 36.285953 18.427292 5.534604 4.512061
10.300000 1 36.271155 18.520284 5.535293 4.511140
10.400000 1 36.256384 18.614976 5.535984 4.510205
10.500000 1 36.241642 18.711417 5.536678 4.509257
10.600000 1 36.226932 18.809655 5.537373 4.508294
10.700000 1 36.212255 18.909743 5.538071 4.507316
10.800000 1 36.197613 19.011731 5.538772 4.506323
