t Ka M R logL logTeff
92.397650 1 0.900084 0.837148 -0.092599 3.776590
184.795358 1 0.900084 0.838906 -0.090052 3.776771
277.193124 1 0.900084 0.840672 -0.087441 3.776967
369.590948 1 0.900083 0.842446 -0.084767 3.777178
461.988831 1 0.900083 0.844231 -0.082029 3.777403
554.386773 1 0.900083 0.846029 -0.079228 3.777641
646.784776 1 0.900083 0.847841 -0.076362 3.777893
739.182839 1 0.900083 0.849669 -0.073433 3.778157
831.580964 1 0.900083 0.851515 -0.070441 3.778434
923.979150 1 0.900082 0.853381 -0.067384 3.778723
1016.377399 1 0.900082 0.855269 -0.064264 3.779023
1108.775711 1 0.900082 0.857181 -0.061080 3.779334
1201.174088 1 0.900082 0.859118 -0.057832 3.779656
1293.572528 1 0.900082 0.861083 -0.054521 3.779988
1385.971034 1 0.900082 0.863078 -0.051146 3.780329
1478.369606 1 0.900081 0.865103 -0.047707 3.780680
1570.768245 1 0.900081 0.867163 -0.044205 3.781039
1663.166952 1 0.900081 0.869258 -0.040639 3.781407
1755.565727 1 0.900081 0.871390 -0.037009 3.781782
1847.964571 1 0.900081 0.873562 -0.033315 3.782165
1940.363485 1 0.900080 0.875776 -0.029558 3.782555
2032.762471 1 0.900080 0.878033 -0.025737 3.782951
2125.161528 1 0.900080 0.880337 -0.021852 3.783353
2217.560658 1 0.900080 0.882688 -0.017904 3.783761
2309.959862 1 0.900080 0.885090 -0.013892 3.784174
2402.359140 1 0.900079 0.887545 -0.009816 3.784592
2494.758495 1 0.900079 0.890054 -0.005676 3.785013
2587.157926 1 0.900079 0.892620 -0.001473 3.785439
2679.557436 1 0.900079 0.895245 0.002794 3.785868
2771.957025 1 0.900079 0.897933 0.007125 3.786300
2864.356693 1 0.900078 0.900684 0.011520 3.786734
2956.756444 1 0.900078 0.903502 0.015979 3.787171
3049.156277 1 0.900078 0.906389 0.020501 3.787609
3141.556194 1 0.900078 0.909347 0.025088 3.788048
3233.956196 1 0.900078 0.912380 0.029738 3.788487
3326.356285 1 0.900077 0.915489 0.034452 3.788927
3418.756462 1 0.900077 0.918677 0.039231 3.789367
3511.156729 1 0.900077 0.921948 0.044074 3.789806
3603.557087 1 0.900077 0.925304 0.048981 3.790244
3695.957537 1 0.900076 0.928748 0.053953 3.790680
3788.358081 1 0.900076 0.932282 0.058990 3.791114
3880.758721 1 0.900076 0.935911 0.064092 3.791546
3973.159458 1 0.900076 0.939636 0.069259 3.791975
4065.560294 1 0.900075 0.943461 0.074491 3.792401
4157.961232 1 0.900075 0.947390 0.079790 3.792824
4250.362272 1 0.900075 0.951427 0.085155 3.793242
4342.763417 1 0.900074 0.955573 0.090587 3.793655
4435.164669 1 0.900074 0.959834 0.096086 3.794064
4527.566029 1 0.900074 0.964214 0.101654 3.794467
4619.967500 1 0.900074 0.968715 0.107291 3.794865
4712.369085 1 0.900073 0.973344 0.112998 3.795257
4804.770785 1 0.900073 0.978103 0.118776 3.795642
4897.172602 1 0.900073 0.982998 0.124626 3.796021
4989.574540 1 0.900072 0.988033 0.130550 3.796392
5081.976600 1 0.900072 0.993215 0.136549 3.796756
5174.378785 1 0.900072 0.998547 0.142626 3.797113
5266.781099 1 0.900071 1.004037 0.148782 3.797461
