t Ka M R logL logTeff
2.914084 1 3.000083 1.503239 2.037078 4.181896
5.828169 1 3.000082 1.510168 2.038849 4.181340
8.742257 1 3.000082 1.517133 2.040664 4.180795
11.656346 1 3.000081 1.524137 2.042523 4.180259
14.570437 1 3.000080 1.531181 2.044426 4.179734
17.484529 1 3.000079 1.538267 2.046374 4.179218
20.398624 1 3.000079 1.545399 2.048366 4.178712
23.312721 1 3.000078 1.552578 2.050402 4.178214
26.226819 1 3.000077 1.559808 2.052482 4.177726
29.140920 1 3.000076 1.567090 2.054607 4.177245
32.055022 1 3.000075 1.574427 2.056776 4.176773
34.969126 1 3.000074 1.581822 2.058989 4.176309
37.883232 1 3.000073 1.589277 2.061246 4.175852
40.797341 1 3.000073 1.596795 2.063548 4.175403
43.711451 1 3.000072 1.604378 2.065894 4.174961
46.625563 1 3.000071 1.612030 2.068284 4.174525
49.539678 1 3.000070 1.619753 2.070718 4.174096
52.453794 1 3.000069 1.627551 2.073197 4.173673
55.367913 1 3.000068 1.635425 2.075720 4.173255
58.282033 1 3.000067 1.643379 2.078287 4.172844
61.196156 1 3.000066 1.651415 2.080899 4.172437
64.110281 1 3.000065 1.659538 2.083554 4.172036
67.024408 1 3.000064 1.667750 2.086254 4.171639
69.938538 1 3.000063 1.676054 2.088999 4.171246
72.852670 1 3.000062 1.684454 2.091787 4.170858
75.766804 1 3.000061 1.692952 2.094620 4.170473
78.680940 1 3.000060 1.701553 2.097497 4.170092
81.595079 1 3.000059 1.710259 2.100418 4.169714
84.509220 1 3.000058 1.719074 2.103384 4.169339
87.423364 1 3.000057 1.728002 2.106393 4.168967
90.337510 1 3.000056 1.737047 2.109447 4.168597
93.251658 1 3.000055 1.746211 2.112546 4.168229
96.165809 1 3.000054 1.755500 2.115688 4.167862
99.079963 1 3.000053 1.764917 2.118875 4.167497
101.994119 1 3.000052 1.774465 2.122106 4.167133
104.908278 1 3.000051 1.784150 2.125381 4.166770
107.822439 1 3.000049 1.793975 2.128701 4.166408
110.736604 1 3.000048 1.803946 2.132065 4.166045
113.650771 1 3.000047 1.814066 2.135473 4.165682
116.564940 1 3.000046 1.824340 2.138925 4.165319
119.479113 1 3.000045 1.834774 2.142421 4.164955
122.393289 1 3.000043 1.845372 2.145962 4.164589
125.307467 1 3.000042 1.856140 2.149547 4.164222
128.221649 1 3.000041 1.867084 2.153177 4.163853
131.135834 1 3.000039 1.878209 2.156850 4.163481
134.050022 1 3.000038 1.889523 2.160568 4.163106
136.964213 1 3.000037 1.901031 2.164330 4.162728
139.878407 1 3.000035 1.912740 2.168136 4.162347
142.792604 1 3.000034 1.924659 2.171987 4.161960
145.706805 1 3.000032 1.936794 2.175882 4.161569
148.621010 1 3.000031 1.949156 2.179821 4.161172
151.535218 1 3.000029 1.961752 2.183804 4.160770
154.449429 1 3.000028 1.974593 2.187831 4.160360
157.363644 1 3.000026 1.987689 2.191903 4.159942
160.277863 1 3.000025 2.001052 2.196019 4.159516
163.192085 1 3.000023 2.014695 2.200179 4.159081
166.106312 1 3.000021 2.028631 2.204384 4.158635
169.020542 1 3.000020 2.042876 2.208633 4.158178
171.934776 1 3.000018 2.057444 2.212926 4.157708
174.849014 1 3.000016 2.072355 2.217263 4.157224
177.763257 1 3.000014 2.087628 2.221644 4.156725
180.677504 1 3.000012 2.103284 2.226070 4.156209
183.591755 1 3.000010 2.119347 2.230540 4.155675
186.506010 1 3.000008 2.135842 2.235054 4.155120
189.420270 1 3.000006 2.152799 2.239613 4.154542
192.334535 1 3.000004 2.170250 2.244215 4.153940
195.248805 1 3.000002 2.188228 2.248862 4.153310
198.163079 1 3.000000 2.206773 2.253553 4.152650
201.077358 1 2.999998 2.225928 2.258289 4.151957
203.991643 1 2.999996 2.245739 2.263068 4.151228
