t Ka M R logL logTeff
404.389348 1 0.700084 0.652936 -0.891187 3.630908
808.779068 1 0.700084 0.654015 -0.888105 3.631320
1213.169166 1 0.700084 0.655097 -0.884968 3.631746
1617.559644 1 0.700083 0.656184 -0.881776 3.632184
2021.950506 1 0.700083 0.657274 -0.878530 3.632635
2426.341758 1 0.700083 0.658370 -0.875228 3.633099
2830.733402 1 0.700083 0.659472 -0.871871 3.633575
3235.125443 1 0.700083 0.660580 -0.868459 3.634063
3639.517886 1 0.700082 0.661696 -0.864992 3.634563
4043.910734 1 0.700082 0.662820 -0.861470 3.635075
4448.303993 1 0.700082 0.663953 -0.857893 3.635599
4852.697668 1 0.700082 0.665096 -0.854261 3.636133
5257.091762 1 0.700082 0.666248 -0.850574 3.636679
5661.486281 1 0.700081 0.667412 -0.846832 3.637236
6065.881231 1 0.700081 0.668587 -0.843035 3.637803
6470.276616 1 0.700081 0.669775 -0.839183 3.638380
6874.672441 1 0.700081 0.670977 -0.835276 3.638968
7279.068713 1 0.700081 0.672192 -0.831314 3.639565
7683.465437 1 0.700080 0.673422 -0.827297 3.640173
8087.862618 1 0.700080 0.674668 -0.823225 3.640789
8492.260264 1 0.700080 0.675930 -0.819098 3.641415
8896.658379 1 0.700080 0.677210 -0.814916 3.642050
9301.056970 1 0.700080 0.678507 -0.810678 3.642694
9705.456044 1 0.700079 0.679823 -0.806386 3.643346
10109.855607 1 0.700079 0.681159 -0.802039 3.644007
10514.255666 1 0.700079 0.682515 -0.797637 3.644675
10918.656228 1 0.700079 0.683892 -0.793180 3.645352
11323.057300 1 0.700078 0.685292 -0.788667 3.646036
11727.458890 1 0.700078 0.686714 -0.784100 3.646728
12131.861005 1 0.700078 0.688160 -0.779478 3.647426
12536.263653 1 0.700078 0.689631 -0.774800 3.648132
12940.666842 1 0.700077 0.691127 -0.770067 3.648845
13345.070580 1 0.700077 0.692650 -0.765280 3.649564
13749.474876 1 0.700077 0.694200 -0.760436 3.650289
14153.879738 1 0.700077 0.695779 -0.755538 3.651020
14558.285176 1 0.700076 0.697386 -0.750584 3.651758
14962.691197 1 0.700076 0.699024 -0.745575 3.652501
15367.097813 1 0.700076 0.700693 -0.740511 3.653249
15771.505032 1 0.700076 0.702394 -0.735390 3.654002
16175.912865 1 0.700075 0.704129 -0.730214 3.654761
16580.321322 1 0.700075 0.705897 -0.724982 3.655524
16984.730413 1 0.700075 0.707701 -0.719694 3.656292
17389.140149 1 0.700074 0.709542 -0.714349 3.657064
17793.550542 1 0.700074 0.711420 -0.708948 3.657841
18197.961602 1 0.700074 0.713337 -0.703489 3.658621
18602.373342 1 0.700073 0.715295 -0.697973 3.659405
19006.785774 1 0.700073 0.717293 -0.692399 3.660192
19411.198911 1 0.700073 0.719335 -0.686766 3.660983
19815.612765 1 0.700073 0.721421 -0.681074 3.661778
20220.027350 1 0.700072 0.723554 -0.675322 3.662575
20624.442679 1 0.700072 0.725734 -0.669509 3.663375
21028.858766 1 0.700071 0.727963 -0.663635 3.664177
21433.275627 1 0.700071 0.730243 -0.657697 3.664982
21837.693276 1 0.700071 0.732577 -0.651695 3.665790
22242.111729 1 0.700070 0.734966 -0.645627 3.666600
22646.531001 1 0.700070 0.737413 -0.639492 3.667412
23050.951110 1 0.700070 0.739920 -0.633287 3.668226
23455.372072 1 0.700069 0.742491 -0.627011 3.669042
23859.793905 1 0.700069 0.745126 -0.620660 3.669860
24264.216627 1 0.700068 0.747831 -0.614233 3.670680
24668.640257 1 0.700068 0.750609 -0.607725 3.671502
25073.064815 1 0.700068 0.753462 -0.601134 3.672326
25477.490321 1 0.700067 0.756396 -0.594455 3.673152
25881.916795 1 0.700067 0.759415 -0.587684 3.673980
26286.344261 1 0.700066 0.762523 -0.580816 3.674810
26690.772739 1 0.700066 0.765726 -0.573845 3.675643
27095.202254 1 0.700065 0.769030 -0.566765 3.676478
27499.632830 1 0.700065 0.772441 -0.559570 3.677316
27904.064493 1 0.700064 0.775966 -0.552251 3.678156
28308.497269 1 0.700064 0.779613 -0.544801 3.679001
28712.931186 1 0.700063 0.783391 -0.537209 3.679849
29117.366273 1 0.700063 0.787309 -0.529466 3.680702
29521.802560 1 0.700062 0.791376 -0.521559 3.681559
29926.240079 1 0.700061 0.795606 -0.513478 3.682422
30330.678863 1 0.700061 0.800009 -0.505206 3.683292
30735.118948 1 0.700060 0.804599 -0.496730 3.684168
31139.560371 1 0.700060 0.809393 -0.488033 3.685053
31544.003170 1 0.700059 0.814406 -0.479096 3.685946
31948.447388 1 0.700058 0.819657 -0.469899 3.686850
32352.893067 1 0.700058 0.825167 -0.460421 3.687765
32757.340256 1 0.700057 0.830958 -0.450636 3.688692
33161.789003 1 0.700056 0.837057 -0.440520 3.689633
33566.239362 1 0.700055 0.843493 -0.430042 3.690589
33970.691390 1 0.700055 0.850298 -0.419174 3.691562
34375.145149 1 0.700054 0.857511 -0.407879 3.692551
34779.600705 1 0.700053 0.865175 -0.396123 3.693558
35184.058129 1 0.700052 0.873345 -0.383864 3.694582
35386.287814 1 0.700052 0.877638 -0.377533 3.695100
35588.518007 1 0.700051 0.882083 -0.371060 3.695621
35790.748718 1 0.700051 0.886690 -0.364438 3.696145
35992.979961 1 0.700050 0.891470 -0.357663 3.696672
36195.211747 1 0.700050 0.896437 -0.350726 3.697199
36397.444090 1 0.700049 0.901606 -0.343622 3.697727
36599.677002 1 0.700049 0.906996 -0.336344 3.698252
36801.910499 1 0.700048 0.912626 -0.328883 3.698773
37004.144595 1 0.700048 0.918520 -0.321233 3.699288
37206.379308 1 0.700047 0.924707 -0.313386 3.699792
37408.614652 1 0.700046 0.931218 -0.305334 3.700281
37610.850647 1 0.700046 0.938094 -0.297068 3.700750
37813.087311 1 0.700045 0.945380 -0.288578 3.701193
38015.324665 1 0.700044 0.953132 -0.279857 3.701600
38217.562729 1 0.700044 0.961417 -0.270895 3.701961
38419.801527 1 0.700043 0.970314 -0.261681 3.702264
38622.041083 1 0.700042 0.979921 -0.252205 3.702494
38723.161252 1 0.700042 0.985026 -0.247366 3.702575
38824.281625 1 0.700042 0.990355 -0.242458 3.702631
38925.402204 1 0.700041 0.995926 -0.237479 3.702657
39026.522994 1 0.700041 1.001760 -0.232427 3.702652
39127.643998 1 0.700040 1.007880 -0.227302 3.702611
39228.765221 1 0.700040 1.014312 -0.222102 3.702529
39329.886667 1 0.700040 1.021083 -0.216825 3.702404
39431.008340 1 0.700039 1.028225 -0.211470 3.702229
39532.130245 1 0.700039 1.035773 -0.206035 3.701999
39633.252387 1 0.700038 1.043766 -0.200519 3.701709
39734.374772 1 0.700038 1.052247 -0.194920 3.701352
39835.497404 1 0.700037 1.061263 -0.189237 3.700920
39936.620289 1 0.700037 1.070870 -0.183468 3.700405
40037.743434 1 0.700036 1.081128 -0.177610 3.699800
40088.305139 1 0.700036 1.086521 -0.174648 3.699460
40176.788241 1 0.700036 1.096418 -0.169410 3.698800
40243.150726 1 0.700035 1.104253 -0.165435 3.698248
40292.922681 1 0.700035 1.110376 -0.162427 3.697799
40367.580717 1 0.700035 1.119985 -0.157873 3.697066
40442.238912 2 0.700034 1.130140 -0.153267 3.696258
40451.963762 2 0.700032 1.132070 -0.152056 3.696190
40473.253394 2 0.700027 1.136306 -0.149405 3.696042
40494.543588 2 0.700022 1.140557 -0.146755 3.695893
40515.834347 2 0.700018 1.144824 -0.144104 3.695745
40537.125678 2 0.700013 1.149107 -0.141453 3.695597
40558.417586 2 0.700007 1.153406 -0.138803 3.695449
