t Ka M R logL logTeff
0.683602 1 5.999996 2.939781 3.005228 4.278290
1.367227 1 5.999907 2.954056 3.007035 4.277690
2.050873 1 5.999817 2.968409 3.008883 4.277100
2.734541 1 5.999726 2.982845 3.010774 4.276519
3.418232 1 5.999635 2.997369 3.012706 4.275947
4.101946 1 5.999543 3.011988 3.014680 4.275384
4.785682 1 5.999451 3.026705 3.016697 4.274830
5.469441 1 5.999357 3.041526 3.018755 4.274283
6.153223 1 5.999263 3.056457 3.020854 4.273745
6.837029 1 5.999167 3.071504 3.022996 4.273214
7.520858 1 5.999071 3.086672 3.025180 4.272690
8.204712 1 5.998974 3.101967 3.027405 4.272173
8.888589 1 5.998875 3.117394 3.029673 4.271663
9.572491 1 5.998776 3.132961 3.031982 4.271159
10.256417 1 5.998676 3.148673 3.034333 4.270660
10.940368 1 5.998575 3.164536 3.036726 4.270167
11.624344 1 5.998472 3.180556 3.039160 4.269679
12.308346 1 5.998368 3.196741 3.041637 4.269196
12.992373 1 5.998263 3.213097 3.044155 4.268717
13.676426 1 5.998157 3.229630 3.046715 4.268243
14.360506 1 5.998050 3.246347 3.049317 4.267772
15.044612 1 5.997941 3.263256 3.051960 4.267305
15.728745 1 5.997831 3.280363 3.054646 4.266841
16.412905 1 5.997720 3.297676 3.057373 4.266380
17.097093 1 5.997607 3.315202 3.060141 4.265921
17.781309 1 5.997493 3.332949 3.062952 4.265464
18.465553 1 5.997377 3.350924 3.065804 4.265009
19.149826 1 5.997259 3.369136 3.068697 4.264556
19.834129 1 5.997140 3.387591 3.071633 4.264103
20.518460 1 5.997020 3.406300 3.074610 4.263652
21.202822 1 5.996897 3.425269 3.077629 4.263200
21.887214 1 5.996773 3.444509 3.080689 4.262749
22.571637 1 5.996647 3.464026 3.083791 4.262298
23.256091 1 5.996519 3.483832 3.086935 4.261846
23.940576 1 5.996389 3.503934 3.090120 4.261393
24.625094 1 5.996257 3.524343 3.093347 4.260938
25.309645 1 5.996124 3.545069 3.096615 4.260482
25.994229 1 5.995988 3.566122 3.099925 4.260024
26.678846 1 5.995849 3.587512 3.103276 4.259563
27.363498 1 5.995709 3.609251 3.106669 4.259099
28.048185 1 5.995566 3.631349 3.110103 4.258632
28.732907 1 5.995421 3.653819 3.113579 4.258162
29.417665 1 5.995274 3.676674 3.117096 4.257687
30.102460 1 5.995124 3.699926 3.120654 4.257208
30.787292 1 5.994972 3.723588 3.124254 4.256723
31.472161 1 5.994816 3.747676 3.127896 4.256233
32.157070 1 5.994659 3.772204 3.131578 4.255738
